SKU,Comments
CRFF10020BA,"Standalone — no extra item"
CRFF10020CH,"Standalone — no extra item"
CRFF10020RO,"Standalone — no extra item"
CRFF10020SN,"Standalone — no extra item"
CRFF10020YB,"Standalone — no extra item"
CRFF100BM,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF100BY,"Standalone — no extra item"
CRFF100CH,"Standalone — no extra item"
CRFF100CO,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF100FG,"Standalone — no extra item"
CRFF100GB,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF100RO,"Standalone — no extra item"
CRFF100SN,"Standalone — no extra item"
CRFF100WH,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF100WO,"Combined with E27 Hemp wire Aluminium Holder Pendant (PHMH1HERYB)"
CRFF100YB,"Standalone — no extra item"
CRFF105BA,"Standalone — no extra item"
CRFF105BY,"Standalone — no extra item"
CRFF105CH,"Standalone — no extra item"
CRFF105CO,"Standalone — no extra item"
CRFF105GB,"Standalone — no extra item"
CRFF105RO,"Standalone — no extra item"
CRFF105SN,"Standalone — no extra item"
CRFF105WH,"Standalone — no extra item"
CRFF105YB,"Standalone — no extra item"
CRFF108BM,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
CRFF108BY,"Standalone — no extra item"
CRFF108CH,"Standalone — no extra item"
CRFF108CO,"Standalone — no extra item"
CRFF108GB,"Standalone — no extra item"
CRFF108RO,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF108SN,"Standalone — no extra item"
CRFF108WH,"Standalone — no extra item"
CRFF108YB,"Standalone — no extra item"
CRFF110HBM,"Standalone — no extra item"
CRFF110HCO,"Standalone — no extra item"
CRFF110HFG,"Standalone — no extra item"
CRFF110HSN,"Standalone — no extra item"
CRFF110HYB,"Standalone — no extra item"
CRFF115BM,"Standalone — no extra item"
CRFF115CH,"Standalone — no extra item"
CRFF115CO,"Standalone — no extra item"
CRFF115RO,"Standalone — no extra item"
CRFF115SN,"Standalone — no extra item"
CRFF1401BM,"Not listed on Shopify"
CRFF140BB,"Standalone — no extra item"
CRFF140BC,"Standalone — no extra item"
CRFF140BM,"Standalone — no extra item"
CRFF140BS,"Standalone — no extra item"
CRFF140BY,"Standalone — no extra item"
CRFF140CH,"Standalone — no extra item"
CRFF140CO,"Standalone — no extra item"
CRFF140FG,"Standalone — no extra item"
CRFF140GB,"Standalone — no extra item"
CRFF140GD,"Standalone — no extra item"
CRFF140GL,"Standalone — no extra item"
CRFF140RO,"Standalone — no extra item"
CRFF140RR,"Standalone — no extra item"
CRFF140SBC,"Combined with 1m Brushed Copper Fisherman Pendant set (PHLSFH1PBRBC)"
CRFF140SBM,"Combined with 1m Nautical Fisherman Pendant set (PHLSFH1PBRBM)"
CRFF140SN,"Standalone — no extra item"
CRFF140WH,"Standalone — no extra item"
CRFF140YB,"Standalone — no extra item"
CRFF14BM,"Standalone — no extra item"
CRFF14GL,"Standalone — no extra item"
CRFF2005BM,"Standalone — no extra item"
CRFF2005WH,"Standalone — no extra item"
CRFF2006BM,"Standalone — no extra item"
CRFF2006WH,"Standalone — no extra item"
CRFF2007BM,"Standalone — no extra item"
CRFF2007WH,"Standalone — no extra item"
CRFF2008BM,"Standalone — no extra item"
CRFF2008WH,"Standalone — no extra item"
CRFF2009BM,"Standalone — no extra item"
CRFF2009WH,"Standalone — no extra item"
CRFF2404BM,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
CRFF2404WH,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
CRFF4002BM,"Standalone — no extra item"
CRFF4503BM,"Standalone — no extra item"
CRFF4503WH,"Standalone — no extra item — not on LEDSone, Electricalsone listing"
CRFF5004BM,"Standalone — no extra item"
CRFF5005BM,"Standalone — no extra item"
CRFF500BB,"Standalone — no extra item"
CRFF500BC,"Standalone — no extra item"
CRFF500BM,"Standalone — no extra item"
CRFF500BS,"Standalone — no extra item"
CRFF500CH,"Standalone — no extra item"
CRFF500FG,"Standalone — no extra item"
CRFF500GB,"Standalone — no extra item"
CRFF500RO,"Standalone — no extra item"
CRFF500RR,"Standalone — no extra item"
CRFF500SN,"Standalone — no extra item"
CRFF500WH,"Standalone — no extra item"
CRFF500YB,"Standalone — no extra item"
CRFF5504BM,"Standalone — no extra item"
CRFF5505BM,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF65BM,"Standalone — no extra item"
CRFF65CH,"Standalone — no extra item"
CRFF65CO,"Standalone — no extra item"
CRFF65FG,"Standalone — no extra item"
CRFF65GD,"Standalone — no extra item — not on LEDSone, Vintagelite listing"
CRFF65RO,"Standalone — no extra item"
CRFF65SN,"Standalone — no extra item"
CRFF65YB,"Standalone — no extra item"
CRFF75BA,"Standalone — no extra item"
CRFF75BY,"Standalone — no extra item"
CRFF75CH,"Standalone — no extra item"
CRFF75CO,"Standalone — no extra item"
CRFF75GB,"Standalone — no extra item"
CRFF75RO,"Standalone — no extra item"
CRFF75SN,"Standalone — no extra item"
CRFF75WH,"Standalone — no extra item"
CRFF75YB,"Standalone — no extra item"
CRSF10025BM,"Standalone — no extra item"
CRSF10025WH,"Standalone — no extra item"
CRSF10030BY,"Not listed on Shopify"
CRSF10030CO,"Not listed on Shopify"
CRSF10030GB,"Not listed on Shopify"
CRSF10030YB,"Standalone — no extra item"
CRSF100AA,"Standalone — no extra item"
CRSF100BB,"Standalone — no extra item"
CRSF100BC,"Standalone — no extra item"
CRSF100BD,"Standalone — no extra item"
CRSF100BL,"Standalone — no extra item"
CRSF100BM,"Standalone — no extra item"
CRSF100BS,"Standalone — no extra item"
CRSF100BU,"Standalone — no extra item"
CRSF100CB,"Combined with E27 Ceiling Rose Pendant Lamp Fitting (PHCH1PWRSBD) and Easy Fit E27 15cm Light Shade (LSHQ150CB)"
CRSF100CH,"Standalone — no extra item"
CRSF100CO,"Standalone — no extra item"
CRSF100CY,"Standalone — no extra item"
CRSF100FG,"Standalone — no extra item"
CRSF100GB,"Standalone — no extra item"
CRSF100GC,"Standalone — no extra item"
CRSF100GD,"Standalone — no extra item"
CRSF100GG,"Standalone — no extra item"
CRSF100GN,"Standalone — no extra item"
CRSF100GR,"Standalone — no extra item"
CRSF100GS,"Standalone — no extra item"
CRSF100GY,"Standalone — no extra item"
CRSF100HBM,"Standalone — no extra item"
CRSF100HCH,"Standalone — no extra item"
CRSF100HCO,"Standalone — no extra item"
CRSF100HFG,"Standalone — no extra item"
CRSF100HGB,"Standalone — no extra item"
CRSF100HRO,"Standalone — no extra item"
CRSF100HSN,"Standalone — no extra item"
CRSF100HWH,"Standalone — no extra item"
CRSF100HYB,"Standalone — no extra item"
CRSF100LBM,"Sold as 2 Pack"
CRSF100LBR,"Not listed on Shopify"
CRSF100LCH,"Sold as 2 Pack — not on LEDSone, Electricalsone listing"
CRSF100LCO,"Sold as 2 Pack"
CRSF100LFG,"Sold as 2 Pack"
CRSF100LG,"Standalone — no extra item"
CRSF100LRO,"Sold as 2 Pack"
CRSF100LSN,"Sold as 2 Pack"
CRSF100LWH,"Sold as 2 Pack"
CRSF100LYB,"Sold as 2 Pack — not on LEDSone, Electricalsone listing"
CRSF100NB,"Standalone — no extra item"
CRSF100OFBM,"Standalone — no extra item"
CRSF100OFSBM,"Standalone — no extra item"
CRSF100OFSYB,"Standalone — no extra item"
CRSF100OFWH,"Standalone — no extra item"
CRSF100OR,"Standalone — no extra item"
CRSF100PI,"Standalone — no extra item"
CRSF100PS,"Standalone — no extra item"
CRSF100RE,"Standalone — no extra item"
CRSF100RO,"Standalone — no extra item"
